納品番号	FBA15DK71GCH
納品名	FBA STA (2023/09/08 03:58)-TYO2
納品プラン番号	
納品先	TYO2
SKU 合計	30
商品合計数	83

SKU	商品名	ASIN	FNSKU	製品コード	コンディション	梱包	梱包種類	ラベル貼付	同梱
1Y-5L5D-QYMK	[Smart-Bear] W401 赤ちゃん 膝当て 二ーパッド 出産祝い 滑り止め 柔らか 膝サポーター 怪我防止 メッシュ 通気 可愛い柄 2色セット (2組セット, クマ2色セット)	B093G8VPJL	X000XK93NH	UPC: 703556069308	新品	不要	"--"	出品者	1
2C-OMB5-LWES	[Smart-Bear] W110 可愛い キッズ 靴下 子供 ボーイズ 靴下 男の子 ソックス 綿 抗菌防臭 吸汗吸湿 弾性 通気 柔らかい かわいい 通園通学 5足セット (XL, キリン柄)	B0829RCZH4	X000TC4Q7H	UPC: 703556066093	新品	不要	"--"	出品者	1
6I-0H96-18IA	【Smart-KM】T007 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 透明 クリア (ブラック, XXL)	B077VWS1WM	X000RJIWPT	--	新品	不要	"--"	出品者	3
8Q-VTYS-YQ5Z	[Smart-Bear] W005 子供の靴下 男の子 女の子 ソックス 通園 通学 抗菌 通気性 5足セット (L)	B07RNDQ5S7	X000RMJ4KD	UPC: 703556062811	新品	不要	"--"	出品者	6
8Y-B81U-KU22	[smally] 【Smart-Bear】T004 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (ピンク, S)	B0782T4WWX	X000WRDZ71	UPC: 680577733541	新品	不要	"--"	出品者	3
97-W48L-K89A	【Smart-KM】S017 網タイツ レース ガーターストッキング ニーハイ セクシー ストッキング レディース 仮装 2点セット (ホワイト)	B07C7JX67Y	X000YPFN7L	--	新品	不要	"--"	出品者	5
9W-X2Z4-B0TS	【Smart-KM】T002 韓国enbihouseレインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (トリ, XL)	B077V2FCXS	X000RKHUVZ	--	新品	不要	"--"	出品者	1
C8-VY3A-HL06	[Smart-Bear] W005 子供の靴下 男の子 女の子 ソックス 通園 通学 抗菌 通気性 5足セット (M)	B07RRJ5TNV	X000RJ6T1D	UPC: 703556062804	新品	不要	"--"	出品者	7
EC-FOVX-FOBJ	【Smart-KM】S017 網タイツ レース ガーターストッキング ニーハイ セクシー ストッキング レディース 仮装 2点セット(バラ)	B07C76HMBS	X000YPFQBT	UPC: 706352696419	新品	不要	"--"	出品者	2
EW-TDOM-26PY	[Smart-Bear] T306 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・通学・アウトドア遊び用 完全防水 雪遊び 滑りにくい 梅雨対策 プルハンドル付き (サメ柄, measurement_16_point_0_centimeters)	B089WHLQGT	X000UXQ6N7	UPC: 703556068271	新品	不要	"--"	出品者	1
FK-SQOE-Y997	[smally] 【Smart-Bear】T004 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (イエロー, S)	B0782N7XDJ	X000WRDZ6R	UPC: 680577733534	新品	不要	"--"	出品者	7
GP-7JNG-JM04	[Smart-Bear] T309 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・通学・アウトドア遊び用 完全防水 雪遊び 滑りにくい 梅雨対策 プルハンドル付き (イエロー, measurement_19_point_5_centimeters)	B09838LPZC	X000Y3QVVF	UPC: 703556069568	新品	不要	"--"	出品者	1
HM-5URZ-2K38	【Smart-KM】S017 網タイツ レース ガーターストッキング ニーハイ セクシー ストッキング レディース 仮装 2点セット (パープル)	B07C7KGKBH	X000YPEORV	UPC: 706352696457	新品	不要	"--"	出品者	1
HU-4C3A-YQ59	[enbihouse] 【Smart-Bear】T010 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 雪の女王 Frozen (ピンク, XL)	B07RN3T64S	X000RKIE15	UPC: 703556062613	新品	不要	"--"	出品者	3
L7-WXI9-AW9P	[enbihouse] 【Smart-Bear】T010 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 雪の女王 Frozen (ピンク, XXL)	B07RP6Q7SK	X000RMG0AZ	UPC: 703556062620	新品	不要	"--"	出品者	3
LR-3KLG-FCBD	[Smart-KM] S017 網タイツ レース ガーターストッキング ニーハイ セクシー ストッキング レディース 仮装 2点セット (三色セットB)	B09P8V2ZC7	X000ZN6XDP	UPC: 703556070113	新品	不要	"--"	出品者	1
LU-ZKNB-TZVQ	[enbihouse] 【Smart-Bear】T010 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 雪の女王 Frozen (ブルー, XXL)	B07RN46T9J	X000RJ3OCF	UPC: 703556062576	新品	不要	"--"	出品者	3
LW-8PD5-8DC1	[Smart-Bear] T008 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 梅花 熊 パイナップル (XXL, ピンク)	B07RS9PZVZ	X000RKI7FX	UPC: 703556062354	新品	不要	"--"	出品者	2
LX-RA4O-U3NE	[Smart-Bear] P002 キッズ服 Tシャツ ズボン 男の子 女の子 パジャマ 前開きキッズ 部屋着 寝間着ルームウェア ホームサービス ベビー 長袖 ボタン トップス ショートパンツ 上下セット服 子供 春 秋 冬 七五三 誕生日 新年 (130cm, ブルー恐竜柄)	B09NHP9DGC	X000ZJ3JCR	UPC: 703556069957	新品	不要	"--"	出品者	1
M5-KPD9-RB5V	[enbihouse] 【Smart-Bear】T010 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 雪の女王 Frozen (ピンク, L)	B07RP581QF	X000RKID9X	UPC: 703556062606	新品	不要	"--"	出品者	2
M9-RIG5-DRKF	[Smart-Bear] W101 立体 可愛い動物柄 通学 通園 靴下 キッズ ソックス 女の子 ソックス カラーフル 5足セット (L)	B07SV1BD6S	X000RU9VA3	UPC: 703556063627	新品	不要	"--"	出品者	4
NO-T7XI-7XIR	[Smart-Bear] T308 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・通学・アウトドア遊び用 完全防水 雪遊び 滑りにくい 梅雨対策 (ホワイト, measurement_20_point_0_centimeters)	B089Y5T5HG	X000UXXDLF	UPC: 703556068554	新品	不要	"--"	出品者	1
NR-5Z4P-2YBS	[Smart-Bear] W003 子供の靴下 立体 可愛い動物柄 通学 通園 キッズ ソックス 女の子 5足セット (M)	B07RNDMDMY	X000RJN8F3	UPC: 703556062729	新品	不要	"--"	出品者	9
SE-6APE-EDI4	[smally] 【Smart-Bear】T004 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (イエロー, M)	B0782VLBQ7	X000WRDPNZ	UPC: 680577733565	新品	不要	"--"	出品者	4
SH-OD0M-HDQG	[Smart-Bear] T303 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・通学・アウトドア遊び用 完全防水 雪遊び 滑りにくい 梅雨対策 (イエロー, measurement_15_point_0_centimeters)	B089WGQJT1	X000UXVQ23	UPC: 703556068127	新品	不要	"--"	出品者	1
T8-FSOJ-B0V1	【Smart-KM】S017 網タイツ レース ガーターストッキング ニーハイ セクシー ストッキング レディース 仮装 2点セット (レッド)	B07C7PVL42	X000YPFNUN	UPC: 706352696464	新品	不要	"--"	出品者	5
TR-7WMM-B1MU	[Smart-Bear] T303 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・通学・アウトドア遊び用 完全防水 雪遊び 滑りにくい 梅雨対策 (イエロー, measurement_21_point_0_centimeters)	B089WG5M44	X000UXVQ0F	UPC: 703556068240	新品	不要	"--"	出品者	2
VF-4T5V-BQWE	[Smart-Bear] W401 赤ちゃん 膝当て 二ーパッド 出産祝い 滑り止め 柔らか 膝サポーター 怪我防止 メッシュ 通気 可愛い柄 2色セット (2組セット, ウサギ2色セット)	B093G8RXDS	X000XK9IOL	UPC: 703556069315	新品	不要	"--"	出品者	1
WD-OW75-PHRJ	[Smart-Bear] T306 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・通学・アウトドア遊び用 完全防水 雪遊び 滑りにくい 梅雨対策 プルハンドル付き (人魚柄, measurement_16_point_0_centimeters)	B08B1SB1DP	X000UYL393	UPC: 703556068677	新品	不要	"--"	出品者	1
WV-C417-6OVT	[Smart-Bear] P002 キッズ服 Tシャツ ズボン 男の子 女の子 パジャマ 前開きキッズ 部屋着 寝間着ルームウェア ホームサービス ベビー 長袖 ボタン トップス ショートパンツ 上下セット服 子供 春 秋 冬 七五三 誕生日 新年 (150cm, 肌色恐竜柄)	B09NJDZ2ZK	X000ZJ441R	UPC: 703556070038	新品	不要	"--"	出品者	1
